website_code,did_time,price_change0,price_change1,coef_pr,temp_pre_pr,pre_pr,baseline_pr,treatment_pr
1,-48,0.07368537339814406,0.12601626016260162,0.05233088676445756,0.05951114118616042,0.05951114118616042,0.07368537339814406,0.06650511897644121
1,-1,0.0818537130094919,0.15289256198347106,0.07103884897397916,0.05951114118616042,0.05951114118616042,3.75688239307057,3.75688239307057
1,0,0.07373477823706849,0.1487603305785124,0.07502555234144391,0.05951114118616042,0.05951114118616042,3.830617171307638,3.846131582462922
1,23,0.07858075750979539,0.1557377049180328,0.0771569474082374,0.05951114118616042,0.05951114118616042,5.5730965155552035,5.661978511082296
1,47,0.07607509277450339,0.12244897959183673,0.04637388681733334,0.05951114118616042,0.05951114118616042,7.440179818742752,8.10950026692507
1,71,0.07666004853298036,0.1510204081632653,0.07436035963028495,0.05951114118616042,0.05951114118616042,9.295308545207982,10.377743896017133
1,95,0.09450903649130885,0.2320675105485232,0.13755847405721436,0.05951114118616042,0.05951114118616042,11.284494756316725,12.831755004379797
1,119,0.0861007257532439,0.16942148760330578,0.08332076185006188,0.05951114118616042,0.05951114118616042,13.221492406585824,15.111773726310798
2,-48,0.011603375527426161,0.012195121951219513,5.917464237933517e-4,0.0013207360465417187,0.0013207360465417187,0.011603375527426161,0.010874385904677795
2,-1,0.011005135730007337,0.025,0.013994864269992665,0.0013207360465417187,0.0013207360465417187,0.5914989415879623,0.5914989415879623
2,0,0.013558079882740931,0.018633540372670808,0.005075460489929877,0.0013207360465417187,0.0013207360465417187,0.6050570214707033,0.6088117459140914
2,23,0.014048991354466859,0,-0.014048991354466859,0.0013207360465417187,0.0013207360465417187,0.9009345541058132,0.9188126954071029
2,47,0.011789181692094313,0.031055900621118012,0.0192667189290237,0.0013207360465417187,0.0013207360465417187,1.2077817739160368,1.3166569837627786
2,71,0.011462313303230288,0.01282051282051282,0.001358199517282532,0.0013207360465417187,0.0013207360465417187,1.5167927238285397,1.838275939782693
2,95,0.009113214160532773,0.0189873417721519,0.009874127611619127,0.0013207360465417187,0.0013207360465417187,1.8201062356490894,2.1381125444984823
2,119,0.013005272407732865,0.01282051282051282,-1.8475958722004478e-4,0.0013207360465417187,0.0013207360465417187,2.1115946646655956,2.474017953463285
3,-48,0,0,0,4.739156117364708e-4,4.739156117364708e-4,0,-4.739156117364708e-4
3,-1,0,0,0,4.739156117364708e-4,4.739156117364708e-4,0.01463217558333958,0.01463217558333958
3,0,0,0,0,4.739156117364708e-4,4.739156117364708e-4,0.01463217558333958,0.01415825997160311
3,23,0,0,0,4.739156117364708e-4,4.739156117364708e-4,0.023435718919812356,0.019890860990856216
3,47,0,0,0,4.739156117364708e-4,4.739156117364708e-4,0.0299627845934813,0.017015929941213828
3,71,0,0,0,4.739156117364708e-4,4.739156117364708e-4,0.041268539690686945,0.0311558391398126
3,95,0,0,0,4.739156117364708e-4,4.739156117364708e-4,0.04753408306741312,0.028573115714030338
3,119,0,0,0,4.739156117364708e-4,4.739156117364708e-4,0.05926153254703546,0.03493776302982659
4,-48,0,0,0,3.687024894788173e-4,3.687024894788173e-4,0,-3.687024894788173e-4
4,-1,0,0,0,3.687024894788173e-4,3.687024894788173e-4,3.5285815102328866e-4,3.528581510232886e-4
4,0,0,0,0,3.687024894788173e-4,3.687024894788173e-4,3.5285815102328866e-4,-1.584433845552868e-5
4,23,0,0,0,3.687024894788173e-4,3.687024894788173e-4,0.020297883440557142,1.023447186336289
4,47,0,0,0,3.687024894788173e-4,3.687024894788173e-4,0.02484272101867561,1.0145983265887975
4,71,0,0,0,3.687024894788173e-4,3.687024894788173e-4,0.02722822812936266,1.0057494668413058
4,95,0,0,0,3.687024894788173e-4,3.687024894788173e-4,0.03173176986795395,0.9969006070938142
4,119,0,0,0,3.687024894788173e-4,3.687024894788173e-4,0.036637411429437446,0.9912671814299239
5,-48,0,0,0,-1.7770272199963585e-4,-1.7770272199963585e-4,0,1.7770272199963585e-4
5,-1,0,0,0,-1.7770272199963585e-4,-1.7770272199963585e-4,0.008529730655982521,0.008529730655982521
5,0,0.08793103448275862,0.19642857142857142,0.10849753694581281,-1.7770272199963585e-4,-1.7770272199963585e-4,0.09646076513874113,0.20513600480655358
5,23,0,0,0,-1.7770272199963585e-4,-1.7770272199963585e-4,0.15482849291977382,0.3694443564798881
5,47,0,0,0,-1.7770272199963585e-4,-1.7770272199963585e-4,0.15907412102524604,0.379626381571193
5,71,0,0,0,-1.7770272199963585e-4,-1.7770272199963585e-4,0.1637341282615441,0.38389124689918425
5,95,0,0,0,-1.7770272199963585e-4,-1.7770272199963585e-4,0.17135363362866682,0.3881561122271755
5,119,4.299226139294927e-4,0,-4.299226139294927e-4,-1.7770272199963585e-4,-1.7770272199963585e-4,0.17810833420302827,0.4045421896763789
